사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021072600100082,2021년 7월 26일 08시,월요일,충청남도 천안시 서북구 직산읍,사망사고,1,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,79세,사망,화물,남,31세,경상
2021072600100291,2021년 7월 26일 13시,월요일,충청남도 천안시 동남구 유량동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,75세,상해없음,승용,여,69세,경상
2021072600100441,2021년 7월 26일 17시,월요일,충청남도 천안시 동남구 신방동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,62세,상해없음,승용,여,34세,경상
2021072600100491,2021년 7월 26일 18시,월요일,충청남도 천안시 동남구 봉명동,경상사고,0,0,1,0,차대차 - 기타,불법유턴,건조,맑음,단일로 - 기타,개인형이동수단(PM),여,26세,경상,승용,남,32세,상해없음
2021072600100633,2021년 7월 26일 23시,월요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,32세,상해없음
2021072700100101,2021년 7월 27일 08시,화요일,충청남도 천안시 동남구 구룡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,37세,상해없음,승용,여,41세,경상
2021072700100215,2021년 7월 27일 11시,화요일,충청남도 천안시 동남구 삼룡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 고가도로위,기타불명,기타불명,미분류,기타불명,승용,남,31세,경상
2021072700100216,2021년 7월 27일 11시,화요일,충청남도 천안시 동남구 청당동,경상사고,0,0,1,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,55세,부상신고,승용,남,28세,경상
2021072700100254,2021년 7월 27일 12시,화요일,충청남도 천안시 동남구 풍세면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,승용,남,41세,중상
2021072700100312,2021년 7월 27일 14시,화요일,충청남도 천안시 동남구 대흥동,경상사고,0,0,4,0,차대차 - 정면충돌,중앙선침범,건조,맑음,교차로 - 교차로안,승용,남,72세,경상,승용,남,22세,경상
